context_length,batch_size,latency_sec,ttft_sec,tokens_per_sec,tokens_generated,cpu_time_sec(prompt-builder)
128,1,4.7044606109993765,0.15314419499918586,17.802002675766406,81,1.004779997998412
256,1,7.379524308998953,0.1497975519996544,17.567639967623688,128,0.7228623609989882
512,1,6.144327310001245,0.2686140760015405,17.70404782792044,104,1.0165007550021983
1024,1,3.0654069720003463,0.37915830699785147,17.881942958308347,48,0.7958489080010622
2048,1,5.125452617998235,0.5937588079978013,17.66202966488227,80,0.6136546749985428
4096,1,7.599281557002541,0.3459414730023127,17.509646182650375,128,0.7754177850001724
8192,1,4.583704024000326,0.5188130749993434,17.72026942369252,72,0.795517247999669
