requests,batch_size,context_length,avg_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_ttft_sec,avg_itl_sec,p99_itl_sec,avg_tps,aggr_tps,avg_tokens_generated,avg_cpu_time_sec(prompt-builder),total_runtime_sec
1,1,512,7.0015429990016855,7.0015429990016855,7.0015429990016855,7.0015429990016855,0.24109978700289503,0.0568030001270973,0.0568030001270973,17.753896343762023,17.753896343762023,120.0,1.1482556610026222,8.150384902954102
5,1,512,7.11684130975118,7.528008719002173,9.556276462401001,9.830940514880785,1.507528426251156,0.05841341073210227,0.058695916625481535,17.287922421323927,69.15168968529571,97.0,0.6055338429996482,10.691147327423096
10,1,512,10.056664467500013,9.73947296749975,12.580918132199985,12.799347276840818,3.8038596571004746,0.060289840121532226,0.06755036202476665,16.75947167581723,167.59471675817232,103.9,0.5813772976998735,14.7943434715271
20,1,512,13.972479433571737,14.630705053501515,18.432415448852225,18.599096556172846,7.008967238928952,0.06891026517455517,0.09415157545133157,14.818832582724268,207.46365615813974,105.42857142857143,0.5633998358576459,21.3269944190979
50,1,512,24.221184200977156,23.33036060000086,38.22985471439915,38.697975463610604,16.166976047068104,0.09249490117287289,0.19262077493767138,11.614130098876391,511.0217243505612,93.88636363636364,0.5564770018183315,41.251660108566284
